Name,Type,Location,Country
Gamatron ,Other ,"Frederiksdal, South Greenland ",Greenland 
Ganzhou Airfield ,Airfield ,"Ganzhou, Jiangxi ",China 
Genzan Airfield ,Airfield ,"Genzan, Hamgyongnam ",Korea 
Giran Airfield ,Airfield ,"Giran, Taihoku ",Taiwan 
Grand Harbour ,"Naval Port, Shipyard ",Valletta ,Malta 
Guanghan Airfield ,Airfield ,"Guanghan, Sichuan ",China 
Guilin Airfield ,Airfield ,"Liangjiang, Guangxi ",China 
H. C. Stƒlcken Sohn ,Shipyard ,Hamburg ,Germany 
Hadamar Euthanasia Center ,Prison Camp ,"Hadamar, Hessen-Nassau ",Germany 
Haneda Airfield ,Airfield ,Tokyo ,Japan 
Hanyang Arsenal ,Factory ,"Hanyang, Hubei ",China 
HASAG Leipzig ,"Prison Camp, Factory ","Flƒ¶senberg, Bayreuth ",Germany 
Heito Airfield ,Airfield ,"Heito, Takao ",Taiwan 
Henderson Field ,Airfield ,Guadalcanal ,British Western Pacific Territories 
Hickam Field ,Airfield ,"Honolulu, Oahu ",Hawaii 
Hokuto Airfield ,Airfield ,"Hokuto, Taichu ",Taiwan 
Hollandia Airfield Complex ,Airfield ,"Hollandia, Dutch New Guinea ",Dutch East Indies 
Hotel Hershey ,Prison Camp ,"Hershey, Pennsylvania ",United States 
Hotel Yamato ,Military Headquarters ,"Surabaya, Java ",Dutch East Indies 
Howaldtswerke Hamburg ,Shipyard ,Hamburg ,Germany 
Howaldtswerke Kiel ,Shipyard ,"Kiel, Schleswig-Holstein ",Germany 
Hozan Airfield ,Airfield ,"Takao, Takao ",Taiwan 
Huxian Airfield ,Airfield ,"Xianyang, Shaanxi ",China 
Imperial Palace Complex ,Government Building ,Tokyo ,Japan 
Ishigaki Airfield ,Airfield ,"Ishigaki, Okinawa ",Japan 
Isla Grande Naval Air Station ,Airfield ,San Juan ,Puerto Rico 
Jerome War Relocation Center ,Prison Camp ,"Jerome, Arkansas ",United States 
Jiangnan Arsenal ,"Factory, Shipyard ",Shanghai ,China 
Jiangwan Airfield ,Airfield ,Shanghai ,China 
